,경기번호,팀명,경기날짜,결과,No.,이름,출전세트_1set,출전세트_2set,출전세트_3set,출전세트_4set,출전세트_5set,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실
26,2,KB손해보험,2017-10-15,1,6,알렉스 (L),O,O,O,O,O,35,51,30,3,6,58.82,43.97,22,13,2,1,59.09,55,1,0,0,1,0,20,0,0,0,0,0,0,15,6,1,3,40,44.12,0,0,0,0,0,0,13,11,0,1,84.62,46.43,19,4,8,0.8,18.1,10,9,1,0,1.8,19.61,1,1,0,0.2,0.86,25,12,1,2.2,30.12,8,1,0,5,0,0.2,16.33,0,0,14
27,2,KB손해보험,2017-10-15,1,1,이강원 (R),O,O,O,O,O,18,37,17,9,2,45.95,31.9,11,4,2,0,36.36,27.5,3,2,0,0,66.67,60,0,0,0,0,0,0,14,6,4,1,42.86,41.18,0,0,0,0,0,0,9,5,3,1,55.56,32.14,13,0,5,0,12.38,3,2,1,0,0.4,5.88,2,0,0,0,1.72,0,0,0,0,0,5,1,1,1,0,0.2,10.2,2,0,7
28,2,KB손해보험,2017-10-15,1,12,황두연 (L),O,O,O,O,O,7,14,6,0,2,42.86,12.07,5,1,0,1,20,12.5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,33.33,8.82,0,0,0,0,0,0,6,4,0,1,66.67,21.43,14,1,3,0.2,13.33,13,12,1,0,2.4,25.49,2,2,0,0.4,1.72,33,16,2,2.8,39.76,3,0,0,2,0,0,6.12,1,0,5
29,2,KB손해보험,2017-10-15,1,9,이선규 (C),O,O,O,O,O,7,6,5,0,0,83.33,5.17,1,1,0,0,100,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,80,55.56,0,0,0,0,0,0,12,0,0,0,11.43,4,4,0,0,0.8,7.84,1,1,0,0.2,0.86,2,0,0,0,2.41,18,2,4,10,0,0.4,36.73,2,0,0
30,2,KB손해보험,2017-10-15,1,3,전진용 (C),,7,O,O,O,5,5,3,0,0,60,4.31,1,1,0,0,100,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,50,44.44,0,0,0,0,0,0,9,1,4,0.25,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,4,4,0,0.25,18.37,0,0,4
31,2,KB손해보험,2017-10-15,1,2,황택의 (S),O,O,O,O,O,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,3,0.8,25.71,10,4,6,0,0.8,19.61,101,54,0,10.8,87.07,0,0,0,0,0,3,0,1,2,0,0,6.12,0,0,3
32,2,KB손해보험,2017-10-15,1,8,손현종 (L),,1,6,2,12,0,3,0,2,1,0,2.59,0,0,0,0,0,0,1,0,1,0,0,20,0,0,0,0,0,0,2,0,1,1,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.9,1,1,0,0,0.25,1.96,1,0,0,0,0.86,0,0,0,0,0,1,0,0,1,0,0,2.04,0,0,1
33,2,KB손해보험,2017-10-15,1,10,곽동혁 (Li),LI,LI,LI,LI,LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,9.8,4,0,0,0,3.45,22,11,0,2.2,26.51,0,0,0,0,0,0,0,0,0,0
34,2,KB손해보험,2017-10-15,1,11,김홍정 (C),,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,KB손해보험,2017-10-15,1,5,박민범 (L),,,3,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,KB손해보험,2017-10-15,1,16,백계중 (Li),LI,LI,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,1,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2,KB손해보험,2017-10-15,1,17,양준식 (S),2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,KB손해보험,2017-10-15,1,7,하현용 (C),O,O,,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.33,1.2,2,0,1,1,0,0,4.08,0,0,0
39,2,KB손해보험,2017-10-15,1,15,한기호 (L),,9,9,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,2,삼성화재,2017-10-15,0,3,박철우 (R),O,O,O,O,O,23,33,21,2,2,63.64,36.67,20,10,1,2,50,46.51,1,1,0,0,100,100,0,0,0,0,0,0,9,8,1,0,88.89,47.37,0,0,0,0,0,0,3,2,0,0,66.67,21.43,21,1,5,0.2,20.19,7,4,3,0,0.8,16.67,3,0,1,0,3.23,2,1,1,0,2.47,9,1,2,5,0,0.2,14.29,2,0,8
41,2,삼성화재,2017-10-15,0,4,타이스 (L),O,O,O,O,O,22,34,17,2,2,50,37.78,16,6,0,2,37.5,37.21,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,70,52.63,0,0,0,0,0,0,8,4,2,0,50,57.14,15,0,6,0,14.42,5,3,2,0,0.6,11.9,3,1,0,0.2,3.23,20,2,6,0,24.69,14,5,4,3,0,1,22.22,1,0,8
42,2,삼성화재,2017-10-15,0,1,김규민 (C),O,O,O,O,O,9,8,4,1,1,50,8.89,2,0,0,1,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,0,66.67,46.15,0,0,0,0,0,0,11,1,2,0.2,10.58,4,2,2,0,0.4,9.52,3,2,0,0.4,3.23,0,0,0,0,0,15,4,1,6,1,0.8,23.81,1,0,4
43,2,삼성화재,2017-10-15,0,8,류윤식 (L),O,O,O,O,O,8,6,5,0,0,83.33,6.67,3,2,0,0,66.67,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,100,21.43,20,1,3,0.2,19.23,7,4,3,0,0.8,16.67,2,1,0,0.2,2.15,31,17,2,3,38.27,6,2,1,3,0,0.4,9.52,3,0,3
44,2,삼성화재,2017-10-15,0,17,박상하 (C),O,O,O,O,O,6,8,4,0,1,50,8.89,1,1,0,0,100,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,1,42.86,53.85,0,0,0,0,0,0,17,0,2,0,16.35,1,1,0,0,0.2,2.38,0,0,0,0,0,3,1,0,0.2,3.7,9,2,0,4,1,0.4,14.29,3,0,4
45,2,삼성화재,2017-10-15,0,6,황동일 (S),O,O,O,O,O,0,1,0,0,0,0,1.11,1,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,14.42,7,7,0,0,1.4,16.67,70,43,0,8.6,75.27,0,0,0,0,0,10,0,1,7,0,0,15.87,0,0,2
46,2,삼성화재,2017-10-15,0,12,김강녕 (Li),LI,LI,LI,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0.67,7.14,2,0,0,0,2.15,8,2,0,0.67,9.88,0,0,0,0,0,0,0,0,0,0
47,2,삼성화재,2017-10-15,0,16,김나운 (L),,17,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,2,삼성화재,2017-10-15,0,5,부용찬 (Li),LI,LI,LI,LI,LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,0,1.2,16.67,3,0,0,0,3.23,17,10,1,1.8,20.99,0,0,0,0,0,0,0,0,0,0
